Instance,Best-cost
up-.mancoosi-test-i40d0u98-17.wcnf,1780852
up-.mancoosi-test-i40d0u98-7.wcnf,1780807
vio.role_domino_violations_0.15_9.wcnf,56981
vio.role_domino_violations_0.25_14.wcnf,85414
vio.role_domino_violations_0.25_3.wcnf,86233
vio.role_domino_violations_0.7_16.wcnf,183193
vio.role_domino_violations_0.7_3.wcnf,181223
vio.role_domino_violations_0.75_2.wcnf,186842
vio.role_firewall_violations_1_0.95_0.wcnf,855263
vio.role_smallcomp_violations_0.3_3.wcnf,185080
vio.role_smallcomp_violations_0.45_8.wcnf,244141
vio.role_university_violations_0.2_7.wcnf,120955
vqe_4_12_ibmq-casablanca_7.wcnf,15
vqe_5_20_ibmq-london_5.wcnf,33
warehouse0.wcsp.wcnf,328
warehouse1.wcsp.wcnf,730567
wcn.adult_train_3_DNF_1_5.wcnf,24254
wcn.heart_train_2_CNF_5_10.wcnf,240
wcn.heart_train_6_DNF_5_5.wcnf,121
wcn.ilpd_test_8_CNF_4_20.wcnf,287
wcn.ionosphere_train_5_DNF_2_10.wcnf,47
wcn.parkinsons_test_5_CNF_2_10.wcnf,58
wcn.pima_test_3_CNF_1_5.wcnf,125
wcn.tictactoe_test_8_CNF_2_20.wcnf,346
wcn.titanic_test_7_CNF_5_20.wcnf,557
wcn.titanic_test_8_DNF_1_20.wcnf,449
wcn.titanic_train_7_CNF_5_15.wcnf,3262
wcn.titanic_train_8_CNF_5_10.wcnf,2201
wcn.transfusion_test_7_DNF_3_5.wcnf,96
wcn.transfusion_train_2_CNF_5_10.wcnf,1600
wcn.transfusion_train_3_CNF_3_15.wcnf,2400
WCNF_pathways_p01.wcnf,2
WCNF_pathways_p03.wcnf,30
WCNF_pathways_p05.wcnf,60
WCNF_pathways_p06.wcnf,64
WCNF_pathways_p08.wcnf,182
WCNF_pathways_p09.wcnf,157
WCNF_pathways_p10.wcnf,129
WCNF_pathways_p12.wcnf,188
WCNF_pathways_p14.wcnf,207
WCNF_pathways_p16.wcnf,257
WCNF_storage_p02.wcnf,5
WCNF_storage_p06.wcnf,173
web-wikipedia2009.wcnf,26809801
wei.MultiDay_2_weighted.wcnf,464813
wei.MultiDay_3_weighted.wcnf,1057087
wei.MultiDay_4_weighted.wcnf,2021936
wei.SingleDay_15_weighted.wcnf,3638476
wei.SingleDay_3_weighted.wcnf,35439
wei.SingleDay_37_weighted.wcnf,44432889
wei.Subnetwork_7_weighted.wcnf,43213
wei.Subnetwork_9_weighted.wcnf,82813
wg2.wcnf,78
wikipedia.dimacs.wcnf,42676
wpm.mancoosi-test-i1000d0u98-15.wcnf,92031744
wpm.mancoosi-test-i2000d0u98-25.wcnf,332548069
wpm.mancoosi-test-i3000d0u98-50.wcnf,422725765
wpm.mancoosi-test-i3000d0u98-70.wcnf,512958012
wpm.mancoosi-test-i4000d0u98-76.wcnf,738411504
youtube.dimacs.wcnf,227167
